,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EMPLOI DU TEMPS  (Semestre: 2   Classe: 1Génie Info A )     AU 2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Salle Info 2 (A312),,,,,,,,,,version  8 Janvier 2024,,,,,,,,,,
,,8h30,,,,,,,,10h20,,10h40,,,,,,12h30,,,,,,13h30,,,,,,,15h20,,,15h40,,,,,,17h30,,,
,L,,,,,,,,,,,,,,,,,,,,,,,,Ben Nasr.F  B212(Ex 13B),,,,,,,,,,,,,,,,,,
,U,,,,,,,,,,,,,,,,,,,,,,,,TP Sys exp G1/G2,,,,,,,,,,,,,,,,,,
,N,,SYS  Exp 2,,,,,,,,,Web2,,,,,,,,,,,,,TP RES G1/G2,,,,,,,,,PROBA-Stat,,,,,,,,,
,D,,Krichene.H,,,,,,,,,"???   B214 (Info5)
",,,,,,,,,,,,,Feleh.Y B214(Ex info5),,,,,,,,,"Tounsi.R   B211 (13A)
",,,,,,,,,
,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en salle machine
,A,,Temimi.O  B212(Ex 13B),,,,,,,,,,,,,,,,,,,,,, Réseaux Locaux,,,,,,,,,TechComOr1,,,,,,,,,
,R,,TP POO G1/G2,,,,,,,,,Architecture Ord,,,,,,,,,,,,,Feleh.Y,,,,,,,,,Ayed.k  (1ère période),,,,,,,,,
,D,,Abid.H B211 (Ex 13A),,,,,,,,,Chtourou.S ,,,,,,,,,,,,,,B214(Ex info5),,,,,,,,Anglais,,,,,,,,,
,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trabelsi (2ème Période),,,,,,,,,
,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,,RECH OP,,,,,,,,,POO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RE,,Rihab Mechmech,,,,,,,,,Temimi.O   B212(13B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,,Temimi.O  B212(Ex 13B),,,,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U,,TPGraphes G1/G2,,,,,,,,,Graphes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,,Abid.H B211 (Ex 13A),,,,,,,,,Fayech.B   (Logidas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,Principes de gestion ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,,TLA  ,,,,,,,,,Marzouk.R,,,,(1ère période),,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,,Kacem.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
